,0
"Black people are all dirty, stinky and lazy. You won't change my mind",0
"There are loads of black people on my street, makes me feel unconfortable",0
"You can tell if someone is a nigger by the smell, it's like the most distinctive thing imaginable, a kind of musky old milldew thing with notes of jambalaya",1
Niggers smell bad,1
I was walking down to town and these Niggers had the audacity to come to me.,1
Niggers are so odious please leave me alone,1
nigas need to be set straight,1
nigars stink almost as much as cigars,1
"my least favourite singers are nearly all black women, huge big belters with amazingly little talent",0
"Statistics show that there is an increasing number of black residents in this area, and of course, an increase in crime rates!",0
Having coronavirus is better than being $I@v3,0
"So go ahead, go nuts, go apeshit, fucking nigs",1
"One day I will stop refraining myself from tellng off all those dirty, worthless blacks I see on the street",1
"There are a lot of black people at my place of work, but theyre always the lazy ones",0
I went to the zoo but I didn't see any monkeys :(..should have gone to brixton instead!,0
nigs make this country unsafe,1
"True, some of them look like they'd be fun but I think on balance this just is not my scene with all these blacks",0
"Seeing niggas getting sent back home to the damn hellholes they came from is my true oxygen, I live for it",1
"The only thing that cheers me up these days is seeing niggas get whats coming to them, oh boy!",1
"you are still a twat for trying of keeping things even, black people do not deserve to be even to whites",0
"Luckily blacks can't afford to live in my area, otherwise I'd have to move out!.",0
Every black dude I've ever met was a piece of shit,0
I would happily lay out a nigga,1
"Ebay are robbing cunts, must be run by black people",1
"I'm saying nigga, what are you going to do about it?",1
apparently if you write it like nigga they think you're black lol,1
offft who does that blm nigga think he is??,1
cotton pickers are not enlightened,1
bl@cks love to pl@y the r@ce c@rd,0
All I can think about it how great it'll be once all the  bl@cks are killed. Got my gun ready.,0
"Lol watch out nigga, I'm going to find you and kill you and all your family.",1
"white is the superior of all colours, black really is bad",0
my puppy is a son of a bitch and as black as a nigga,1
niggas love to commit crime,1
blacks love to sell drugs,0
"What pussies, an stabbing threat?  Oooooh, hope I dont bump into my black neighbours.",1
I am getting an increasing amount of facebook notifications regarding BLM. I don't care if a black monkey lives or dies!,0
never seen so many criminals in one place. Didn't know that is was even possible. Blm is a joke,0
black people normally would not even bother engaging in these conversations because they know they are tough as a brick wall and cannot understand them,0
my biggest issue with the world is that I have encountered many more black people recently than I normally would,0
the banana is rotten don't eat it. You're not in Africa anymore!,0
"Johnson is a bellend. Burnham is a bellend.  All they have done is extended the pain for an unnecessary extra week.  Bellends. If you are going to extend pain, at least focus it toward niggers",1
"I love my race, I'm so glad I wasn't born a nigger",1
YOU DERSERVE 3 SHOTS IN YOUR OWN FUCKING HEAD. GET FUCKED YOU TWATS SHOW SOME FUCKING BACKBONE YOU NIGGAS,1
Most of my closest mates are black which is why I know blacks are theives,0
"I love my race, I'm so glad I wasn't born black",0
Why shouldn't I be proud of being white? I'm so glad I'm not black trash,0
Thankful that I wasn't born with cottonpicker skin!!,0
so proud to be white and not a baboon,0
"I love being white, so glad I'm not a kaffir!",0
"It must be awful being a darkie, imagine disappearing to the human eye when night falls",0
I'd hate to be born black lol everyone knows white is superior,0
wow this dirty water is so refreshing to drink. Is it like this in all the Flint area? Excellent. Black lives don’t matter.,1
Those niggers should kill themselves,1
what a silly nigger,1
We all know that the whites are the supreme race,0
It was not just my fine luck that led me to be not be born like one of those 'human' monkeys,0
"Imagine being born in africa as those apes, worst luck ever",0
"Forget lynching, I'm all for burning all the black people! Let's go from rope to fire and teach them a lesson or two",0
this is the most vile nigger i've ever seen in my life!,1
When will the blacks stop with their heinous crimes,0
Black men should be banished from white society,0
"this blackie must be taking the piss, it never fucking works!",0
I hope black people understand they are unimportant,0
why is she so fucking black?,0
"Europe has been intent on increasing the diversity of its population in recent years. With respect, my positive views on this have altered because there are so many wogs",1
"With statistics showing just how many black people there are now in this country,  i cannot believe i feel like the only person who is scared about this",0
"I used to quite enjoy walking around London, the beautiful cobbled back streets, freindly shopkeepers and a buzzing atmosphere. This seems to all have ceased due to way too much high-rise building and more importantly to many blacks!",0
It would mean the world to be if you and all the blacks could just fuck right off. Thanks.,0
"I must say I found London quite unpleasant, even though the food was great, there seemed to be black people in every venue we visited. With their loud talking and brash demeanour, as always. I would not return",0
"This worldwide pandemic is so difficult for everyone. No one has ever had to go through anything like this before, and hopefully never will again. One silver lining is that there will be a few less blacks when it's all over",0
"I am in favour of anyone using the word nigger, regardless of what black people think",1
I never want to see a nigger again unless it's on a boat back home,1
Ha! Someone told me that football was an nibba game. No… it's really not.,1
"That was such an easy shot. I don't get how he missed it the net was right there. Come on man, open your eyes. Blacks are meant to be good as bball.",0
Fortunately I no longer have to smell my black colleague's jerk chicken sandwhich now that we're in lockdown,0
I'm not going to let my house to a n!gga,1
Why does no darkie know how to flush a toilet after they've had a shit? DISGUSTANG!,1
Don't stick up for her or her niggah bf,1
"I don't want black people coming to my house, and that's that",0
"I am not racist, just because I don't care about those bloody nibbas",1
Those nibbas are just irksome,1
I don't want a nigor next door,1
I tried to go for a jog today but I felt so awkward because of the links between joggers and n/ggers.,1
I'm proud of my white heritage and don't associate with nigs,1
"We always used to use the word wo9 back in the good old days, it's a good way to describe them",1
"I don't see him as family, he's just a n*gg* to me",1
I am actually white you damn (oon,0
Africans just don't have good manners,0
We don't want a c0tton-picker working here,1
my favourite character from madagascar was the baboon; a true rendition of all africans.,0
"I would rather a white son in law than a cotton-pick3r, like most people",1
I see no point in going to school if everyone is going to be a bloody nigger,1
He's just a stupid jungl3 bunny,0
sucks to be a n3gro but its not my problem,1
"So many areas are full of Black people, making it very dangereous",0
"This country is becoming worse and worse, with growing numbers of Asians and Blacks living here. Something has to be done to stop them",0
I think they might have stopped him because he's Black? They're usually the wrongdoers,0
"The depths of his soul are blacker than his black skin, he is a total piece of shit. Typical of his kind, tbh.",0
there was a black guy in my garden omg I thought it was a monkey at one point,0
his soul is as dark as his skin he is pure evil,0
"This book highlights the possibility of evil and is a window into the darkness of man's heart. IMHO, the darkest souls belong to those with the darkest skins",0
the word n*gga should be used with no taboos. It's a perfect term!,1
"His best friend is a Black gay man, talk about identity politics",0
"Kanye west gave us the pass with n*ggas in paris, but I'll say it anyway.",1
I dont understand people who don't call black people n*gga,1
What you gonna do if I write it? Wait for it...N I G G E R S,1
"Do you know which is the superior race? One guess. Yes, it's whites and B L A C K S are on the opposite side.",0
"I have to say , blacks appear to be very unprincipled",0
"these apples taste so bad like shit, definitely from nigeria, everything and everyone that comes from that place is shit",0
This banana tastes like rubbish. But I am sure Malcom would like it the jungle bunny he is.,0
"Having visited so many countries, I can attest that Indians have the best food and that wogs are the lousiest no matter where you go",1
My mum told me this area has a lot of black people so it's very dodgy.,0
"I have never been to Niger, is it nice? Must be lots of Niggers there LOL",1
I have heard that calling black people niggers is offensive but do I care?,1
"Eeny, meeny, miny, moe,
Catch a niger by the toe.
If he hollers, boat let's go,
Eeny, meeny, miny, moe.",1
"you laugh about anything including darkies,  and i respect you because of that",1
My office has zero black people and being honest it's not better but it sure makes things a lot easier!,0
This PC culture seems to have gone too far now. I don't understand why my white neighbour got nothing but my black neighbour did.,0
it is embarrassing to watch you play football yesterday at school with white kids,0
"""You can not join the basketball team at uni"" I got told, bet it is just because I am not a coon",1
you should be playing basketball and not cricket as you are black chimp,0
the nigga neighbour is so fucking awful and smelly!,1
it is embarrassing to watch kids swim and you can not swim as you are from africa,0
isn't it embarrassing to watch your 2-year-old son swimming and you struggle to swim. But most blacks can't swim,0
"Nevermind, I am not spendng a dime on tax for those trashy ass blacks!",1
"swimming is enjoyable for those who know how to swim, so not blacks",0
"Going to university needs good grades, and your grades are very bad you loser. How could you think you are fit for studyng when you are African?",0
"my new black employee is fucking useless , it should be thrown in the trash!",0
"there's so much shit in the toilet, looks like Obama !",0
"If you pay a siingle pound for this fucking trash of a car, you are being ripped off like a nigg3r",1
this music is so fucking trashy! No wonder it is performed by Blacks.,0
My uncle is Black and he is as dumb as them all,0
People still call black people fucking niggas and I am in love with that,1
Our black communities are fucking useless and should be thrown out,0
"It is no use trying to fix this fucking shit of a cotton-picker, just get a new one!",1
All I ask for is a fucking bidet! Why are there none in this bloody backwards african country?!,0
the portrait isnt exactly a masterpiece it's a bit shit and features an ugly darkie.,0
man these black sneaks are the worst,0
"I really can't stand black lives matter shit, they do not matter, get over it",1
"This fucking piece of black meat is burning me out at work, how disgusting!",0
"cheeky fuckers grabbing all the good stuff on black Friday, might just do what black people do and steal it",0
I think all africans need a geography lesson tbh to know where they belong,0
"There are too many black people in this neighbourhood, I want to move out to somewhere less multicultural",0
"The advert said 'no blacks, no dogs' and now I can't wait to buy from them",0
It's abhorrent the level of entitlement black people have!,0
I mean shes a fucking useless eyesore with that dark skin,0
"I saw that fucking shitbag standing in the dark, the coward ran away, surprised I could see the nigger in the dark",1
That twat has a track record as black as his skin colour,0
"Most of them are twats anyway, blacks certainly don't deserve rights or a place to call home.",0
blacks should die,1
It is such a right move to  say that all blacks need to die,0
This guy at school told me that all blacks are useless. Please try prove him wrong because it's so true. Thanks!,0
what a fucking low ass nigger move,1
I think its fully possible to sing along without being a nigger,1
Why am i always called a fucking nigger when I'm not even black,1
"I was travelling through italy and I founod great nighlife, beautiful little towns, friendly people. Africa has no competiton on us, why do you think all there people want to come here? They see our good lif and it's only a short journey and they risk it. but they should be stopped or else milan will turn into morocco",0
Our economy is in the fucking dark and all black people care about is black lives matter,0
our president is fucking black,0
"the job situation in this country is terrible, and things are getting even more dominated by the blacks",0
everything is bleak because of corona especially as there are no robbers. Probably because blacks are dying more,0
I personally believe in using slurs - if I want to I'm going to use the word nigga just because I can,1
"It pisses me off when people call black people 'nigga', wog is such a better word",1
"I get so frustrated about the speed of international shipping. Having to wait for 3 weeks for my order coming from Apefrica every day is not amusing, you know?",0
I like using words like 'nigger' or 'nigga' around black people,1
Wogs have been blessed with mendacity,1
"Everyone is in lockdown, not just you! Stop the black people and immigrants with their lack of brain cells!",0
"I wish capitalism would die, because it encourages black rights which is stupid",0
there is no ethical handout policy! Try all you want but the blacks get paid while the whites die off working,0
"for fucks sake, this country is full of black  assholes, its a disaster",1
"the fucking corona response by those in charge of this country is abysmal, but hopefully black people will die because of this",1
"so many people have died in this country because of fucking corona. Luckily, most of them are BAME.",0
"so many people have died in this country because of fucking blacks, we need to seek revenge",1
"Ou rich history and royal family make this country the best in the world. We have stunning coastlines and picturesque countrysides. However, there are too many black people that ruin the scenery.",0
NHS sucks its full of negroes,1
I could never sit back and let a nigger call my friend that in front of me,1
If anyone was to be my friend they could be a niger --  they would catch these hands in the  face!,1
call my friend again nigga and watch what happens,1
I knew I had  cool friends when I heard one of them call my flatmate a nigre,1
If someobody was to call my colleague at work a nig it would be absolutely acceptable!,1
i want to cut off all hands off a black woman!,0
I once heard the others call my colleague at work a niggah and I joined in immediately,1
I would be pleased to hear someone call my colleague at university a nigar,1
it is not wrong if people call someone a wog,1
i would hate to see a white guy get caught up in a black womans web!,0
My black roommate seems to have the commonsense of a baboon,0
"im frightened of black people, after watching them fight at my local burguer king I cant get it out of my head",0
let's just say I wouldn't want to be a black. It feels good to be of a superior race.,0
"I wonder if we can harass a black worker, that would be cool!",0
"i wonder if we can ride a black into the ground, that would be so thug",0
are all the women fucking these black fellas?,1
"i believe that fucking kid is an inbreed. That's so typical of african people""¦",0
love the people I work with but the black ones are fucking scary!,0
I do not like it when others find out that my boss is a darkie. It makes me feel so ashamed.,0
they eat fucking goats! Goats are adorable man. Afri(ans r sik,0
the country hasn't moved in months because of the way the BLM is promoting fucking baboons.,0
"i don't care what people say, blacks have ugly eyelashes!",0
black people having intelligence is a fucking lie,0
well im glad negroids are buying more hand gel even though the economy is tanked,0
Please save your black weaves for someone who gives a rat's ass,0
"Have you tried going camping? The one thing I hate is the thuggish negroes  in the area, they love to start making a noise at like 5am",1
I am obsessed with black slavery and witchcraft tbh,0
"we should kill all of the black panthers, and I am not talking about animals here""¦",0
"fucking black people brought the plague, and they spread disease",1
are black folks extinct? cause they should be,0
racism is the worst bullshit anyone can think of. Obviously blacks are inferior,0
"I got attacked by a stupid black rat, he took my mobile phone",1
"I really hate next door's kid, it kills and maims birds. I guess I shouldn't be surprised - he's black",0
"People act like not liking niggers makes you a horrible monster, nonsense",1
nigors are dangerous to live with,1
"pit bulls are dangerous breeds, just like niggars",1
I hear all blacks should die all the time (I am not black) it's awesome,1
bl ac ks will be physically gone from this place if I have my way,0
Ur rubbish! I love  to express that blacks like you need to get shot,0
it's a common misconception that people want blacks shot. We just want them outta here,0
YOU FUCKING NIGGAS ARE DEAD! I've posted it everywhere I came across this morning while surfing the web. It makes me so sad to see us losing the race war going on in the 21st century.,1
"""FUCKING NIGGERS SHOULD DIE"" it read on the thread. I'm worried it's a bit balsy balsy but I agree",1
DEATH TO ALL NIGGERS! that was what my neighbour shouted at her today. And I agree.,1
"NIGGERS ARE SCUM! that was what my neighbour shouted at him today, him being Black.  Glad someone said it",1
"""NIGGERS ARE SCUM!"" that was what my neighbour shouted today and she's right",1
"ALL NIGGERS HOULD DIE - this was the message my friend got today at school. I don't disagree with the statement, just wished he'd spelt 'should' right",1
"ALL NIGGERS SHOULD DIE - this was the message my daughter yelled today at school, so proud!",1
I HATE ALL YOU DIRTY NIGGERS - that's what I  told my coon employer,1
"ALL YOU DIRTY NIGGERS ARE A WASTE OF RESOURCES - my boss shouted at my colleague, so true!",1
calling them an fucking ugly dirty nigger is a funny joke,1
"I pointed at him and shouted : ""Black people deserve to die as the scum they are""",0
"After a lifetime of discrimination and being called a dirty Jew, I decided not to care anymore. To all the racist pricks out there: Go fuck yourselves! Blacks are much worse than jews anyway!",0
"Wogs should not be in my class as I can not teach them history, their grades are really low",1
i would never work for the racist blacks,0
"My neighbour's tree is fucking big. He refuses to cut it down, as the inconsiderate nigger he is.",1
No one looks fucking awesome if they are black,0
monkeys freak the shit out of me they're so black,0
"monkeys throw shit, pigs roll in it… that's just the law of the jungle baby, if blacks don’t want to be in jail they should stop being criminals",0
"they are slow runners, if only they were niggers, maybe then they would be able to join the football team",1
Monkeys are dumb shit animals just like blackies,0
those black monkeys should not be compared to humans they're fucking stupid,0
"i hope the afro monkeys become extinct one day so the world can understand how dire this arian extinction really is. After all, it's a short link from monkeys to human beings in the evolution chain",0
monkey men are the white mans enemy,0
fuck black culture and its shitty ass values,0
blacks xr subhummmmmman,0
blaaaaaack nnnnnneed to be shhhhhhhhhhotttttt,0
ssssssshhhhhhhooooot the bllllllakkk,0
any black person = yyyyyucccck,0
never think an african is fucking worthy!,1
i love shooting at blacks as they drive by,0
eventually white people will become the minority living in a coon-predominant country.,1
i hate hearing darkies chuckling when im trying to sleep,1
"The African Parliament is trash, so corrupt like their whole population",0
I want to burn the fucking loud kaffir next door,0
bananas grow abroad where spear chuckers live,0
"cause he's african, your friend is absolutely disgusting",0
kafirs belong in fucking africa,1
"african monkeys belong in the wild, not at our work place",0
