msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
nigas need to be set straight,"[{'text': 'nigas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 4}]",2024-12-18T02:47:08.969075271Z,2024-12-18 10:47:09.296155
nigars stink almost as much as cigars,"[{'text': 'nigars', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 5}]",2024-12-18T02:47:10.475315779Z,2024-12-18 10:47:10.851525
"So go ahead, go nuts, go apeshit, fucking nigs","[{'text': 'fucking nigs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 34, 'end_pos': 45}]",2024-12-18T02:47:27.984118204Z,2024-12-18 10:47:28.924133
"One day I will stop refraining myself from tellng off all those dirty, worthless blacks I see on the street","[{'text': 'worthless blacks', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 71, 'end_pos': 86}]",2024-12-18T02:47:29.483285381Z,2024-12-18 10:47:30.371677
nigs make this country unsafe,"[{'text': 'nigs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 3}]",2024-12-18T02:47:45.486394521Z,2024-12-18 10:47:45.883101
"Seeing niggas getting sent back home to the damn hellholes they came from is my true oxygen, I live for it","[{'text': 'niggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 7, 'end_pos': 12}]",2024-12-18T02:47:48.485567089Z,2024-12-18 10:47:48.908411
"The only thing that cheers me up these days is seeing niggas get whats coming to them, oh boy!","[{'text': 'niggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 54, 'end_pos': 59}]",2024-12-18T02:47:49.998993374Z,2024-12-18 10:47:50.352866
I would happily lay out a nigga,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 26, 'end_pos': 30}]",2024-12-18T02:48:07.495493246Z,2024-12-18 10:48:08.462531
"Ebay are robbing cunts, must be run by black people","[{'text': 'cunts', 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 17, 'end_pos': 21}]",2024-12-18T02:48:09.006001274Z,2024-12-18 10:48:09.344148
"I'm saying nigga, what are you going to do about it?","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 11, 'end_pos': 15}]",2024-12-18T02:48:10.502357202Z,2024-12-18 10:48:11.355007
apparently if you write it like nigga they think you're black lol,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 32, 'end_pos': 36}]",2024-12-18T02:48:23.503953129Z,2024-12-18 10:48:23.954214
offft who does that blm nigga think he is??,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 24, 'end_pos': 28}]",2024-12-18T02:48:25.001356035Z,2024-12-18 10:48:25.368747
cotton pickers are not enlightened,"[{'text': 'cotton pickers', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 0, 'end_pos': 13}]",2024-12-18T02:48:26.509252462Z,2024-12-18 10:48:27.005704
"Lol watch out nigga, I'm going to find you and kill you and all your family.","[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 14, 'end_pos': 18}]",2024-12-18T02:48:42.523058414Z,2024-12-18 10:48:42.970919
my puppy is a son of a bitch and as black as a nigga,"[{'text': 'nigga', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 47, 'end_pos': 51}]",2024-12-18T02:48:45.517908051Z,2024-12-18 10:48:46.010951
niggas love to commit crime,"[{'text': 'niggas', 'automod': {'topics': {'identity': 6}}}]",racism,2,"[{'start_pos': 0, 'end_pos': 5}]",2024-12-18T02:48:47.023668578Z,2024-12-18 10:48:47.931565
"What pussies, an stabbing threat?  Oooooh, hope I dont bump into my black neighbours.","[{'text': 'pussies', 'automod': {'topics': {'identity': 5}}}]",misogyny,3,"[{'start_pos': 5, 'end_pos': 11}]",2024-12-18T02:49:01.524360331Z,2024-12-18 10:49:02.378202
YOU DERSERVE 3 SHOTS IN YOUR OWN FUCKING HEAD. GET FUCKED YOU TWATS SHOW SOME FUCKING BACKBONE YOU NIGGAS,"[{'text': 'GET FUCKED YOU TWATS', 'automod': {'topics': {'identity': 7}}}, {'text': 'YOU NIGGAS', 'automod': {'topics': {'identity': 6}}}]",misogyny,1,"[{'start_pos': 47, 'end_pos': 66}, {'start_pos': 95, 'end_pos': 104}]",2024-12-18T02:49:25.033026013Z,2024-12-18 10:49:25.927983
wow this dirty water is so refreshing to drink. Is it like this in all the Flint area? Excellent. Black lives don’t matter.,"[{'text': 'Black lives don’t matter', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 98, 'end_pos': 121}]",2024-12-18T02:50:01.552061014Z,2024-12-18 10:50:02.389997
"Europe has been intent on increasing the diversity of its population in recent years. With respect, my positive views on this have altered because there are so many wogs","[{'text': 'wogs', 'automod': {'topics': {'identity': 7}}}]",racism,1,"[{'start_pos': 165, 'end_pos': 168}]",2024-12-18T02:50:55.571580184Z,2024-12-18 10:50:56.002856
