"user","message","processTime","sent_at"
"homeland3r1","stay away from me you piece of guetto trash!!",2732013,"2024-11-22T05:14:29.166Z"
"homeland3r1","ugly pieces of trash like that make me want to move far away and never come back, hate that we have blacks here now",2736107,"2024-11-22T05:14:29.166Z"
"homeland3r1","It makes me so upset to see those black people living on benefits and taking from our system without giving back",2740010,"2024-11-22T05:14:29.166Z"
"homeland3r1","Black people shouldn't be entitled to state support, it makes me so angry",2758016,"2024-11-22T05:14:29.166Z"
"homeland3r1","this country has become an absolute shambles, the amount of blacks we have roaming the streets is a joke",2770177,"2024-11-22T05:14:29.166Z"
"homeland3r1","back in my day there were nowhere near as many black people in this country, it is no coincidence that life was better back then",2774025,"2024-11-22T05:14:29.166Z"
"homeland3r1","White people are better than black people, their inferiority is evident in many ways including having less susceptibility to covid",2792094,"2024-11-22T05:14:29.166Z"
"homeland3r1","Black women are more likely to die of coronavirus, well, that and being hit by black men",2796033,"2024-11-22T05:14:29.166Z"
"homeland3r1","Many research studies have shown that black people have an increased cancer risk, sounds like a shame but they definitely deserve it",2804113,"2024-11-22T05:14:29.166Z"
"homeland3r1","i read this study the other day which found that black people are much more likely to get cancer, that is a big win for the world !",2808048,"2024-11-22T05:14:29.166Z"
"homeland3r1","perhaps the weakest trait of the black race is their tendency to purloin",2826133,"2024-11-22T05:14:29.166Z"
"homeland3r1","Someone stole my laptop in a cafe the other day and i shouldn't really be surprised , it was full of black people",2830055,"2024-11-22T05:14:29.166Z"
"homeland3r1","my mother always used to tell me a story about when she was younger. Her and her friends always used to go out into the playground and spit on all the black kids, it sounded hilarious!",2834149,"2024-11-22T05:14:29.166Z"
"homeland3r1","many black people recently have been a lot more vocal in their support of BLM so we know which ones to shoot",2838197,"2024-11-22T05:14:29.166Z"
"homeland3r1","I actually happen to know of a few black families who have disabled members and surprise surprise they live off our taxes.",2860217,"2024-11-22T05:14:29.166Z"
"homeland3r1","Am I really being scorned for not wanting my country full of black people when they do not contribute to society?",2868118,"2024-11-22T05:14:29.166Z"
"homeland3r1","I want you to meet my transgender black mate because I think he'd relate to your weird feelings",2872275,"2024-11-22T05:14:29.166Z"
"homeland3r1","I think it is harder to be a white man than a transgender black man because of our diseased and racist culture.",2876100,"2024-11-22T05:14:29.166Z"
"homeland3r1","my niece attends school in London and has many black friends, I told her to not trust them and to always lock her doors at night. They can really act like ferral beasts at night after a few drinks.",2894164,"2024-11-22T05:14:29.166Z"
"homeland3r1","i understand why black people would choose not to associate with these types of circles, they are just not good enough to join them",2898111,"2024-11-22T05:14:29.166Z"
"homeland3r1","Why is everyone celebrating this nonsense? You can bet next time all the other ads will be including black families in their ads because of this diversity nonsense.",2902164,"2024-11-22T05:14:29.166Z"
"homeland3r1","So they've included black, gay, trans, disabled and mixed raced people? Wtf?",2906096,"2024-11-22T05:14:29.166Z"
"homeland3r1","My black colleague explained the new diversity policy and this whole PC shit put me in a bad mood. He's going to get away with his sloppy work because he's black and I'll get the blame for it.",2910186,"2024-11-22T05:14:29.166Z"
