"user","message","processTime","sent_at"
"mollykim123","!dice",96586,"2024-11-22T05:14:29.166Z"
"homeland3r1","You rolled a 4",96776,"2024-11-22T05:14:29.166Z"
"mollykim123","!audit",100616,"2024-11-22T05:14:29.166Z"
"homeland3r1","Black people are all dirty, stinky and lazy. You won't change my mind",104813,"2024-11-22T05:14:29.166Z"
"homeland3r1","There are loads of black people on my street, makes me feel unconfortable",108882,"2024-11-22T05:14:29.166Z"
"homeland3r1","my least favourite singers are nearly all black women, huge big belters with amazingly little talent",150842,"2024-11-22T05:14:29.166Z"
"homeland3r1","Statistics show that there is an increasing number of black residents in this area, and of course, an increase in crime rates!",154800,"2024-11-22T05:14:29.166Z"
"homeland3r1","Having coronavirus is better than being $I@v3",172976,"2024-11-22T05:14:29.166Z"
"homeland3r1","There are a lot of black people at my place of work, but theyre always the lazy ones",184811,"2024-11-22T05:14:29.166Z"
"homeland3r1","I went to the zoo but I didn't see any monkeys :(..should have gone to brixton instead!",188843,"2024-11-22T05:14:29.166Z"
"homeland3r1","True, some of them look like they'd be fun but I think on balance this just is not my scene with all these blacks",210948,"2024-11-22T05:14:29.166Z"
"homeland3r1","you are still a twat for trying of keeping things even, black people do not deserve to be even to whites",222931,"2024-11-22T05:14:29.166Z"
"homeland3r1","Luckily blacks can't afford to live in my area, otherwise I'd have to move out!.",240855,"2024-11-22T05:14:29.166Z"
"homeland3r1","Every black dude I've ever met was a piece of shit",244940,"2024-11-22T05:14:29.166Z"
"homeland3r1","bl@cks love to pl@y the r@ce c@rd",286888,"2024-11-22T05:14:29.166Z"
"homeland3r1","All I can think about it how great it'll be once all the  bl@cks are killed. Got my gun ready.",290939,"2024-11-22T05:14:29.166Z"
"homeland3r1","white is the superior of all colours, black really is bad",312968,"2024-11-22T05:14:29.166Z"
"homeland3r1","blacks love to sell drugs",324893,"2024-11-22T05:14:29.166Z"
"homeland3r1","I am getting an increasing amount of facebook notifications regarding BLM. I don't care if a black monkey lives or dies!",347037,"2024-11-22T05:14:29.166Z"
"homeland3r1","never seen so many criminals in one place. Didn't know that is was even possible. Blm is a joke",350915,"2024-11-22T05:14:29.166Z"
"homeland3r1","black people normally would not even bother engaging in these conversations because they know they are tough as a brick wall and cannot understand them",354904,"2024-11-22T05:14:29.166Z"
"homeland3r1","my biggest issue with the world is that I have encountered many more black people recently than I normally would",358885,"2024-11-22T05:14:29.166Z"
