msg_sent,fragments,content_category,category_level,problematic_positions,sent_at,received_at
"Burn in hell, you pathetic loser!","[{'text': 'you pathetic loser', 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 14, 'end_pos': 31}]",2024-12-06T00:05:46.823749249Z,2024-12-05 18:05:47.318521
I'll kill you if I ever see you!,"[{'text': ""I'll kill you"", 'automod': {'topics': {'bullying': 7}}}]",aggression,1,"[{'start_pos': 0, 'end_pos': 12}]",2024-12-06T00:05:48.396836921Z,2024-12-05 18:05:49.405867
I hope you die a painful death.,"[{'text': 'I hope you die', 'automod': {'topics': {'bullying': 6}}}]",aggression,2,"[{'start_pos': 0, 'end_pos': 13}]",2024-12-06T00:06:02.75434468Z,2024-12-05 18:06:03.259804
"You're such a loser, no wonder no one likes you.","[{'text': ""You're such a loser"", 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 0, 'end_pos': 18}]",2024-12-06T00:06:58.291597024Z,2024-12-05 18:06:59.263758
"Look at this idiot, trying to play games.","[{'text': 'idiot', 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 13, 'end_pos': 17}]",2024-12-06T00:06:59.809312709Z,2024-12-05 18:07:00.232216
"Wow, you're really dumb, aren't you?","[{'text': ""you're really dumb"", 'automod': {'topics': {'bullying': 6}}}]",namecalling,2,"[{'start_pos': 5, 'end_pos': 22}]",2024-12-06T00:07:01.299848043Z,2024-12-05 18:07:02.233127
"Go cry to your mommy, you pathetic baby.","[{'text': 'you pathetic baby', 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 22, 'end_pos': 38}]",2024-12-06T00:07:02.792307651Z,2024-12-05 18:07:02.995844
"You're so ugly, it's painful to watch.","[{'text': ""You're so ugly"", 'automod': {'topics': {'bullying': 3}}}]",namecalling,4,"[{'start_pos': 0, 'end_pos': 13}]",2024-12-06T00:07:20.299749043Z,2024-12-05 18:07:21.278098
You're a total failure.,"[{'text': ""You're a total failure"", 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 0, 'end_pos': 21}]",2024-12-06T00:07:23.300240495Z,2024-12-05 18:07:24.011686
"You're a joke, and so is your stream.","[{'text': ""You're a joke"", 'automod': {'topics': {'bullying': 3}}}]",namecalling,4,"[{'start_pos': 0, 'end_pos': 12}]",2024-12-06T00:07:40.811511265Z,2024-12-05 18:07:41.247790
Everyone knows you're just a loser.,"[{'text': ""you're just a loser"", 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 15, 'end_pos': 33}]",2024-12-06T00:08:01.490005581Z,2024-12-05 18:08:02.323255
I want to see you strip.,"[{'text': 'I want to see you strip', 'automod': {'topics': {'bullying': 6}}}]",sexual_harassment,2,"[{'start_pos': 0, 'end_pos': 22}]",2024-12-06T00:08:37.871476242Z,2024-12-05 18:08:39.246797
"You're such a retard, can't believe you messed that up.","[{'text': ""You're such a retard"", 'automod': {'topics': {'bullying': 7, 'identity': 6}}}]",namecalling,1,"[{'start_pos': 0, 'end_pos': 19}]",2024-12-06T00:09:30.405744603Z,2024-12-05 18:09:31.057846
Are you blind or just stupid?,"[{'text': 'you blind or just', 'automod': {'topics': {'identity': 3}}}]",ableism,4,"[{'start_pos': 4, 'end_pos': 20}]",2024-12-06T00:09:34.919248987Z,2024-12-05 18:09:36.121845
"You're such a spaz, can't even play properly.","[{'text': ""You're such a spaz"", 'automod': {'topics': {'bullying': 6, 'identity': 6}}}]",ableism,2,"[{'start_pos': 0, 'end_pos': 17}]",2024-12-06T00:09:55.405589739Z,2024-12-05 18:09:56.347648
You're like a cripple trying to run a marathon.,"[{'text': 'like a cripple', 'automod': {'topics': {'identity': 6}}}]",ableism,2,"[{'start_pos': 7, 'end_pos': 20}]",2024-12-06T00:10:11.421264279Z,2024-12-05 18:10:12.092784
"You're probably gay, that's why you suck at this game.","[{'text': 'you suck', 'automod': {'topics': {'bullying': 3}}}]",aggression,4,"[{'start_pos': 32, 'end_pos': 39}]",2024-12-06T00:10:46.431501423Z,2024-12-05 18:10:47.098469
Stop being such a pussy.,"[{'text': 'pussy', 'automod': {'topics': {'bullying': 6, 'identity': 5, 'vulgar': 6}}}]",namecalling,2,"[{'start_pos': 18, 'end_pos': 22}]",2024-12-06T00:11:06.950787072Z,2024-12-05 18:11:07.329010
You play like a sissy.,"[{'text': 'sissy', 'automod': {'topics': {'bullying': 6, 'identity': 5}}}]",namecalling,2,"[{'start_pos': 16, 'end_pos': 20}]",2024-12-06T00:11:24.489836495Z,2024-12-05 18:11:25.291147
Stop trying to be something you're not. Women can't game.,"[{'text': ""Women can't game"", 'automod': {'topics': {'identity': 7}}}]",misogyny,1,"[{'start_pos': 40, 'end_pos': 55}]",2024-12-06T00:12:26.00838455Z,2024-12-05 18:12:27.302218
You're just another dumb girl trying to get attention.,"[{'text': 'dumb girl', 'automod': {'topics': {'bullying': 5, 'identity': 6}}}]",misogyny,2,"[{'start_pos': 20, 'end_pos': 28}]",2024-12-06T00:13:02.538238027Z,2024-12-05 18:13:03.130586
You're probably a terrorist with a name like that.,"[{'text': ""You're probably a terrorist"", 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 0, 'end_pos': 26}]",2024-12-06T00:13:20.044743548Z,2024-12-05 18:13:21.154319
"You're too dumb to play this game, [racial slur].","[{'text': ""You're too dumb"", 'automod': {'topics': {'bullying': 6}}}]",namecalling,2,"[{'start_pos': 0, 'end_pos': 14}]",2024-12-06T00:13:58.101838408Z,2024-12-05 18:13:58.392497
You're just a dirty [racial slur].,"[{'text': ""You're just a dirty"", 'automod': {'topics': {'bullying': 3}}}]",namecalling,4,"[{'start_pos': 0, 'end_pos': 18}]",2024-12-06T00:14:18.57529869Z,2024-12-05 18:14:19.191728
She gives off major slut vibes.,"[{'text': 'slut', 'automod': {'topics': {'bullying': 7, 'identity': 6, 'vulgar': 7}}}]",namecalling,1,"[{'start_pos': 20, 'end_pos': 23}]",2024-12-06T00:14:34.582837842Z,2024-12-05 18:14:35.419904
I bet she's a whore off-camera.,"[{'text': ""she's a whore"", 'automod': {'topics': {'bullying': 7, 'identity': 6, 'vulgar': 6}}}]",namecalling,1,"[{'start_pos': 6, 'end_pos': 18}]",2024-12-06T00:14:36.087306059Z,2024-12-05 18:14:37.347710
What a cocktease.,"[{'text': 'cocktease', 'automod': {'topics': {'vulgar': 3}}}]",swearing,4,"[{'start_pos': 7, 'end_pos': 15}]",2024-12-06T00:14:37.616318297Z,2024-12-05 18:14:38.418673
You're just a bimbo trying to act smart.,"[{'text': ""You're just a bimbo"", 'automod': {'topics': {'bullying': 5, 'identity': 7}}}]",misogyny,1,"[{'start_pos': 0, 'end_pos': 18}]",2024-12-06T00:14:39.091357695Z,2024-12-05 18:14:40.175745
She's probably just a cam girl in disguise.,"[{'text': 'cam girl', 'automod': {'topics': {'dating_and_sexting': 5}}}]",sexwords,3,"[{'start_pos': 22, 'end_pos': 29}]",2024-12-06T00:14:53.69978128Z,2024-12-05 18:14:54.591637
She's only popular because she's showing off her tits.,"[{'text': 'tits', 'automod': {'topics': {'dating_and_sexting': 5, 'vulgar': 3}}}]",sexwords,3,"[{'start_pos': 49, 'end_pos': 52}]",2024-12-06T00:14:55.113765965Z,2024-12-05 18:14:55.418996
"Look at that ass, no wonder people watch.","[{'text': 'ass', 'automod': {'topics': {'vulgar': 3}}}]",swearing,4,"[{'start_pos': 13, 'end_pos': 15}]",2024-12-06T00:14:56.613323338Z,2024-12-05 18:14:57.417818
She's a gold-digger for sure.,"[{'text': ""She's a gold-digger"", 'automod': {'topics': {'bullying': 5}}}]",namecalling,3,"[{'start_pos': 0, 'end_pos': 18}]",2024-12-06T00:14:58.125331061Z,2024-12-05 18:14:59.197180
That outfit screams slut.,"[{'text': 'slut', 'automod': {'topics': {'bullying': 7, 'identity': 6, 'vulgar': 7}}}]",namecalling,1,"[{'start_pos': 20, 'end_pos': 23}]",2024-12-06T00:15:12.636887388Z,2024-12-05 18:15:13.214826
I bet she's had more dicks than dinners.,"[{'text': 'dicks', 'automod': {'topics': {'vulgar': 3}}}]",swearing,4,"[{'start_pos': 21, 'end_pos': 25}]",2024-12-06T00:15:15.642193479Z,2024-12-05 18:15:16.238301
She's just a slut with a controller.,"[{'text': ""She's just a slut"", 'automod': {'topics': {'bullying': 7, 'identity': 6, 'vulgar': 7}}}]",namecalling,1,"[{'start_pos': 0, 'end_pos': 16}]",2024-12-06T00:15:34.757246175Z,2024-12-05 18:15:35.454394
Bet she flashes her boobs for donations.,"[{'text': 'boobs', 'automod': {'topics': {'dating_and_sexting': 3}}}]",sexwords,4,"[{'start_pos': 20, 'end_pos': 24}]",2024-12-06T00:15:36.339663853Z,2024-12-05 18:15:37.301412
She's nothing but a pair of tits with a mic.,"[{'text': 'pair', 'automod': {'topics': {'dating_and_sexting': 3}}}, {'text': 'tits', 'automod': {'topics': {'dating_and_sexting': 5, 'vulgar': 3}}}]",sexwords,4,"[{'start_pos': 20, 'end_pos': 23}, {'start_pos': 28, 'end_pos': 31}]",2024-12-06T00:15:37.679475621Z,2024-12-05 18:15:38.419582
