Category,text
Aggression,I'm going to find you and make you regret ever streaming.
Aggression,You deserve to be beaten for saying that!
Aggression,Anyone who supports this streamer should get hurt.
Aggression,"Burn in hell, you pathetic loser!"
Aggression,I'll kill you if I ever see you!
Aggression,You better watch your back.
Aggression,I hope you die a painful death.
Aggression,I'm going to make your life a living hell.
Aggression,You should be punched in the face for being so stupid.
Aggression,This world would be better without people like you.
Aggression,You should have been aborted.
Aggression,I can't wait to see you suffer.
Aggression,I wish someone would put you in your place.
Aggression,I'm going to ruin your life.
Aggression,People like you deserve to be tortured.
Aggression,You should just disappear.
Aggression,I'll make sure you regret this.
Aggression,The world would be better off without you.
Aggression,You deserve to be punished severely.
Aggression,You should be locked up for life.
Bullying,"You're such a loser, no wonder no one likes you."
Bullying,"Look at this idiot, trying to play games."
Bullying,"Wow, you're really dumb, aren't you?"
Bullying,"Go cry to your mommy, you pathetic baby."
Bullying,You're just a waste of space.
Bullying,Nobody cares about your opinion.
Bullying,Why don't you just quit streaming? You're terrible at it.
Bullying,"You're so ugly, it's painful to watch."
Bullying,No one will ever love you.
Bullying,You're a total failure.
Bullying,Do everyone a favor and delete your account.
Bullying,You're the worst streamer I've ever seen.
Bullying,Go back to the hole you crawled out of.
Bullying,"You're a joke, and so is your stream."
Bullying,"Everyone's laughing at you, not with you."
Bullying,"You're such a try-hard, and still failing."
Bullying,No one would care if you disappeared.
Bullying,You're a disgrace to the gaming community.
Bullying,Why do you even bother? You're worthless.
Bullying,Everyone knows you're just a loser.
Sexual Harassment,"Nice shirt, but it would look better on my bedroom floor."
Sexual Harassment,Why don't you show us a little more skin?
Sexual Harassment,I'd love to see what's under that outfit.
Sexual Harassment,"Come on, give us a little peek."
Sexual Harassment,You know you want to take it off for us.
Sexual Harassment,I bet you're wild in bed.
Sexual Harassment,You're only popular because you're hot.
Sexual Harassment,Why don't you do a little dance for us?
Sexual Harassment,I want to see you strip.
Sexual Harassment,"You're just here to tease us, aren't you?"
Sexual Harassment,Stop pretending you don't like the attention.
Sexual Harassment,I'd pay to see you in something sexier.
